id,title,content,rating
19494430,Rất không hài lòng,giá quá cao. cuốn sách mỏng và nội dung ít. giá tầm dưới 100k thì hợp lý.,1.0
20183308,Không hài lòng,"sách cong vẹo như ảnh, chất lượng sản phẩm không tốt",2.0
20078708,Bình thường,"cuốn sách có khá nhiều số liệu, phân tích, tuy nhiên nguồn gốc của số liệu đó không rõ ràng, không tạo cảm giác tin tưởng cho người đọc có khá nhiều chỗ viết lòng vòng, tốn thời gian đọc, nhưng nội dung có ý nghĩa lại rất ít. một số chỗ nhưng đưa ra nội dung chưa phù hợp, ví dụ bảng số liệu đưa ra 1 số, nhưng phân tích thì đưa ra 1 số khác không có trong bảng số liệu. (trang 164,167) hơi bùn vì tựa đề hay nhưng nội dung hơi nghèo.",3.0
20147063,Bình thường,cảm giác sách bị cũ như đã từng dùng rồi. nội dung thì hay,3.0
19997331,Bình thường,"bìa sách bị cong vênh, gáy sách bị xước, giao sản phẩm trễ",3.0
20122290,Không hài lòng,nội dung sách khg hay như được quảng cáo,2.0
20120086,Rất không hài lòng,không hay bình thường không đáng xem,1.0
20071467,Không hài lòng,nội dung sách không phù hợp với tiêu đề sách,2.0
2697562,Sách cho trẻ mẫu giáo và cấp 1,"đúng như tên sách ""dành cho người mới bắt đầu"", nhưng mình đánh giá sách phù hợp với trẻ mẫu giáo và cấp 1 hơn các đối tượng khác. ưu điểm là sách nhiều hình ảnh sinh động, chữ to rõ ràng. tuy nhiên lượng kiến thức và mức độ chuẩn chưa sâu và chưa hệ thống hóa lại. bởi vậy các bạn cấp 2 hay những người lớn hơn học thì hơi quá đơn giản và giá cao so với giá trị mang lại.",3.0
17986991,Không hài lòng,"sách mới nhưng không được bọc giấy kiếng, mất giá trị của sách, thiếu tôn trọng khách sản phẩm. chán",2.0
18066055,Bình thường,cũng là 1 góc nhìn khác về cs. không có sự đúng sai nhưng là chỉ phù hợp hay không,3.0
5251871,Không hài lòng,nội dung hay nhưng sách đóng chất lượng kém quá. mình chưa đọc xong đã long chỉ một số trang quyển đàn ông. có chỗ nào đóng tốt hơn mình sẽ phải mua lại.,2.0
8962222,Không hài lòng,"sách bị sứt phần gáy! nhưng nội dung sách thì hay lắm, đáng để đọc để hiểu mình hiểu người!",2.0
11525329,Không hài lòng,"em thấy bình thường, chắc do nhưng chưa trải sự đời nên không thấm lắm",2.0
10715933,Rất không hài lòng,sách đẹp và giao đúng hạn nhưng không có bookcare dù mình có yêu cầu,1.0
14237387,Rất không hài lòng,tác giả là 1 fallen guru!,1.0
15116678,Rất không hài lòng,"đừng mơ t đặt lần nữa,sản phẩm dell bọc dell ấy gì hết,nhăn nhúm hết cả",1.0
20206639,Bình thường,"sách viết lan man không vào trọng tâm, đọc diễn đạt quá dài dòng mất thời gian, không đúng tỉnh thần ielts. các bạn nên mua các đầu sách uy tín như cambrige học sẽ hệ thống đúng vấn đề hơn.",3.0
20132056,Bình thường,bản dịch hơi khô khan. nhiều câu dùng từ ngữ không có sự liên kết vs nhau. đọc xong cảm thấy khá rối,3.0
17053838,Rất không hài lòng,sách của em không được bao lại dù em có tick vào ô dùng book care. sách được giao từ tiki nhưng trong 1 bịch màu hồng hk có logo tiki. nhìn khá là thất vọng,1.0
18856680,Rất không hài lòng,"sách dở, dài dòng lan man. kể tên đủ loại nhân vật đủ câu chuyện không nhớ không đọng được gì sau khi đọc sách. lâu lâu thấy 1 quyển dở tệ đến nỗi phải lên đánh giá.",1.0
20033526,Rất không hài lòng,"nội dung rời rạc, thất vọng",1.0
19351153,Bình thường,"ngôn ngữ dịch hơi rối dài dòng nhiều chữ nhưng ít ý, đọc mấy trang nhưng đúc kết được có rất ít ý chính thôi",3.0
17641063,Không hài lòng,trải nghiệm hơi tệ. sách chưa kịp mở đã rớt ra rồi. :(,2.0
17545449,Không hài lòng,sách dịch chán dã man. lủng cà lủng củng. hời hợt cẩu thả. cứ như google translate. nói chung không nên mua,2.0
14818561,Không hài lòng,bản dịch cực kỳ khó hiểu. mình là người nói và đọc tiếng anh trôi chảy nhưng cũng rất khó hình dung ra nội dung nhưng người việt truyền tải đã được dịch sang tiếng việt,2.0
19601459,Bình thường,đọc nh không hiểu mấy chắc tại,3.0
19198563,Bình thường,"sách không mới lắm , nội dung thì không giống mình mong đợi",3.0
19171245,Không hài lòng,"câu cú lủng củng, dịch như google dịch, quá thất vọng",2.0
11809558,Bình thường,nội dung rất hay nhưng người dịch lại dở quá. cảm giác họ chỉ dùng google translate và không thèm xem lại câu văn như nào. nên mua cuốn gốc hoặc nên tái bản lần 2 ạ,3.0
18351929,Rất không hài lòng,đã chọn bookcare nhưng khi giao sản phẩm không có,1.0
10777118,Bình thường,"sách dịch ngôn từ khó hiểu , chắc đi bên dịch giả đọc không suôn câu ta nên khó hiểu ! đóng gói đẹp vận chuyển nhanh",3.0
11863608,Rất không hài lòng,"chưa đọc sách ,mới nhận sách ,có quyển sách nhưng muốn trả lại ,đã gửi cho tiki ,mầy ngày chưa thấy trả lời ,gọi điện mấy hôm rồi cũng không nghe máy ,cảm giác như đem con bỏ chợ ,web này bốc hơi luôn mọi người ạ ! mình rất bực mình ,dịch vụ không nổi một sao ,đến giờ cũng không ai thèm rep mình ,ai đặt sách ở đây cẩn thận ,đừng để phải trả lại nhé mọi người !",1.0
10929918,Rất không hài lòng,tôi đặt có book care tại sao lại không có :(,1.0
20106117,Không hài lòng,"sản phẩm đẹp, nhưng sai lầm là chọn tiki. tiki dạo này giáo sản phẩm 10 đơn như 1, đơn nào cũng trễ.",2.0
3244062,Rất không hài lòng,"mình đâ dặt 3 cuốn truyện từ 1 tới ba giao đủ nhưng tập 1 thiếu lót li, mình nghĩ là hết quà tặng kèm nhưng giờ đọc nhận xết mới biết đó là phụ kiện đi kèm của mỗi quyển truyện. qua 1 tuần rồi mới biết nên em không đòi hỏi là tiki phải đổi lại truyện hay gì nhưng xin tiki hãy xem xét lại để không có lần sau nữa",1.0
3016518,hơi không hài lòng,"không hiểu sao lần này tiki đóng gói rất ẩu, rất không hợp lí và rất không vừa ý. thay vì đóng gói bằng hộp dẹp (khoảng 20x15x3) vừa với cuốn truyện thì tiki gói bằng hộp không vừa (khoảng 20x10x10), nên mở ra thì truyện bị cong. xin lỗi vì mình là người sưu tập truyện, rất cưng truyện nên phải khắc khe vấn đề này. mong tiki khắc phục tình trạng này.",3.0
5160266,Rất không hài lòng,"trước h mình đặt tiki đều thấy đóng cản thận. nhưng lần này mình đặt bộ 14 quyển thùng đựng thì rộng, truyện thì cứ thả vào nhưng hk chịu gói sắp xếp lại. đúng vào mùa mưa nữa chứ. thua đóng gói bên fahasha nhiều",1.0
16229921,Bình thường,"🥲🥲 tiki làm ơn gói sản phẩm có chống sốc giùm e, please",3.0
20221385,Bình thường,"đóng gói sơ sài, sách bị móp hết góc, bên trong sách dính bẩn nhiều trang",3.0
20219240,Rất không hài lòng,"bọc sách như muốn tát vào mặt người mua, cẩu thả tận cùng",1.0
20221436,Bình thường,sách khi được nhận bị móp 2 góc sách,3.0
