content,Quality,Service,Shipping,Packing
"không nét như monh chờ, chỉnh cỡ nào cũng rõ ở 1 mức độ rất thường. coi phim lâu nhức mắt .âm thanh thì tốt",0,0,0,0
"máy bị lỗi, đang xem tự động tắt trình chiếu mặc dù đã cài đặt tắt chế độ bảo vệ màn hình",1,1,1,1
"hình ảnh mờ, tương thích iphone kém, nhiều lỗi khi kết nối iphone so với các thiết bị khác như fpt box hay ibox tv…",0,0,0,0
giao chất lượng tốt. test cũng được! nhưng trong hộp lại thiếu cộng dây usb nối dài. không biết sản phẩm này tp-link đóng gói không cho vào hay là bên bán sản phẩm đã lấy ra.,0,0,0,0
"sản phẩm nguyên seal của nhà cung cấp. xài tốt, nhưng các loại dongle wifi của tp-link hay bị lỗi không nhận wifi 5ghz của router ở một số kênh chanel , mình bị lỗi này và phải chỉnh lại router mới sử dùng được băng tầng kép.",0,0,0,0
"sản phẩm đẹp, hỗ trợ cả chuẩn ac và mimo nên chất lượng kết nối tốt. có đầy đủ driver cho windows và mac. tuy nhiên nó có những nhược điểm sau: 1. kích cỡ khá lớn nên khi gắn vào laptop hoặc pc có khả năng nó sẽ che mất các cổng kết nối bên cạnh. có lẽ kích cỡ lớn là do hỗ trợ cả 2 chuẩn mạng nên cần nhiều anten hơn. mình nghĩ sản phẩm này thích hợp với pc hơn laptop. mua cho laptop nên mua sản phẩm cấp thấp hơn. 2. trên windows 10, driver mới nhất của sản phẩm cũ hơn driver do microsoft cung cấp nên windows tự động dùng driver của nó thay vì driver của hãng. kết quả là tính năng mimo không hoạt động, đồng thời mỗi lần khởi động thiết bị đều bị disconect và reconnect lại. mình đã thử cài lại driver, chọn driver mặc định trong device manager nhưng vẫn không khắc phục được.",0,0,0,0
- vừa nhận sản phẩm sau khi đặt hơn 1h - rất tốt - sản phẩm giao được đóng trong hộp cũ có thể bỏ qua - hộp bên trong không nhưng nilon bao bọc - sản phẩm thiếu nắp và dây nối dài tiki bán sản phẩm cũ cho khách à?,1,1,1,1
chất lượng kém chất lượng không dung quảng cáo và không hoàn lại được chán,1,1,1,1
"yêu cầu đổi trả và đã gửi trả sản phẩm nhưng cửa sản phẩm không trả tiền và cũng chiếm lấy sản phẩm của khách. đề nghị tikki xem xét và trả lại tiền,",1,1,1,1
tốn mấy trăm nhưng không thể bắt được wifi 5ghz .cực kì thất vọng,1,1,1,1
