content,Quality,Service,Shipping,Packing
"tôi không thể dùng sản phẩm, tôi có thể trả lại sản phẩm không?",1,1,1,1
"nước sơn đẹp, khá chắc chắn, dễ lắp đặt, trải nghiệm sơ bộ thấy tốt, hơi rung 74kg giao sản phẩm rất tệ, đặt 12 đến 27 mới giao, nhân viên giao sản phẩm gọi điện báo giao chậm cho khách 2 3 lần, nhưng tự cập nhật trên hệ thống giao sản phẩm không thành công, đổ lỗi cho khách sản phẩm, hẹn giao cho khách, trễ hơn 2h khách gọi hỏi lúc nào giao thì không trả lời rồi cúp máy",1,1,1,1
"may không có sách hướng dẫn lắp ráp, không có hướng dẫn sử dụng ….",0,0,0,0
túi không đựng được điện thoại,1,1,1,1
"người bán coi thường khách sản phẩm, giao 2 lần liên tiếp đều sai. mua 25” giao 28”. chat trước khi mua lại. sau đó mua lại 25”, tiếp tục giao 28”.",1,1,1,1
"mua 2 cái, 1 cái dùng tốt, 1 cái con trai bóp 1 cái gẫy làm 2 luôn. giao sản phẩm nhanh, bao gói cẩn thận.",0,0,0,0
sản phẩm không đúng như mô tả,1,1,1,1
không trả lời tin nhắn của khách sản phẩm dù đã nhắn rất nhiều lần. không biết có lỗi hệ thống hay gì ko.,0,0,0,0
sản phẩm không đúng quảng cáo! gọi điện cho cửa sản phẩm 3 cuộc không bắt máy giá cắt cổ,1,1,1,1
"chất lượng tốt, chất lượng tốt, giao sản phẩm nhanh. tuy nhiên cửa sản phẩm có hơi nhầm là giao hai cái cùng 1 bên.",0,0,0,0
"mùi hoá chất cực kỳ hôi, đã giặt 3 lần vẫn chưa hết mùi.",0,0,0,0
"cửa sản phẩm ơi, tôi chưa nhận được sản phẩm, và cũng không nhận được cuộc gọi nào từ nhân viên giao sản phẩm cả. điện thoại tôi báo giao sản phẩm thành công là sao vậy? tôi không hiểu sao nữa. sản phẩm của tôi đã thanh toán trước rồi, cửa sản phẩm không giao đúng địa chỉ, hay giao lộn người khác, nếu vậy thì cửa sản phẩm phải hoàn toàn chịu trách nhiệm, không thì hoàn tiền lại cho tôi đi chứ. cửa sản phẩm làm việc như vậy lần sau ai dám mua sản phẩm của cửa sản phẩm nữa.",1,1,1,1
