content,Quality,Service,Shipping,Packing
xạc nhanh đầy. nhưng không chạy được lâu.hết pin quá nhanh,1,0,0,0
"máy tốt, sữa mịn. nhưng quá ồn. tưởng chạy xe phân khối lớn trong nhà",1,0,0,0
không tiện lắm vì động cơ gắn liền với nắp khó vệ sinh.,1,0,0,0
cửa sản phẩm bán đạo toàn là bán sản phẩm hư sản phẩm không xài đươc,1,0,0,0
mình cũng sử dụng vài ba loại nồi nấu chậm. nồi này nấu cháo lúc nào cũng khét lòng nồi ở cả 2 chế độ nấu cháo.,1,0,0,0
lòng nồi rất dễ xước. khi nấu có lớp cháy bên dưới,1,0,0,0
sản phẩm khôn giữ được độ ẩm cho cơm,1,0,0,0
đã nhận và làm thử. xay mịn nhưng vẫn hơi ồn. điều mình không thích nhất là cái nắp hoàn toàn bằng nhựa pp. đun nóng liên tục trong thời gian dài nhưng bằng nhựa là thấy không yên tâm chút nào. không để ý kỹ chứ biết nắp nhựa là không mua rồi.,1,0,0,0
chê ! quảng cáo mua máy làm sữa được tặng bình giữ nhiệt . giao sản phẩm đến lại bắt thanh toán cả tiền quà tặng,1,0,0,0
máy hoàn thiện tốt nhưng công suất 2300w nhưng quạt lại yếu hơn cái máy tàu 400k. chức năng làm lạnh cũng không khác biệt gì bình thường.,1,0,0,0
"ulachoi, cũng vì thích 3 cái túi vải khuyến mãi kèm theo nhưng mua, ngờ đâu lại “20 ngàn / 0. nhỏ xíu 5 bự chà bá lửa kg”",1,0,0,0
cái nồi không khớp như này à cửa sản phẩm ơi?,1,0,0,0
sản phẩm chất lượng nhưng chương trình khuyến mãi có tặng kèm máy vắt cam thực tế không có. nên hơi khó chịu,1,0,0,0
"lực sấy kém vô cùng làm thất vọng, mùi nhựa hôi",1,0,0,0
"phía trước nồi bị dính cục gì nhưng chà không ra, làm xấu cái nồi. trong lòng nồi bị trầy. quan trọng là thử nấu nước xem nồi tốt không thì lúc nấu mùi hôi từ sơn phía trong nồi khó chịu lắm! sợ nấu đồ ăn hay cơm bị ám mùi hôi đó vào thức ăn nên chưa dám nấu nữa.",1,0,0,0
"mình thấy nồi để 2,5l, nhưng lúc nhận sản phẩm nồi quá nhỏ kg bích đúng kích cở kg? huuu",1,0,0,0
"so với giá tiền sản phẩm không xứng với chất lượng. máy sấy mạnh nhưng khi sấy tóc bị khô và rất sơ, không được trơn và mượt.",1,0,0,0
"máy khá nặng, dùng mức gió cao nhất thì rung gây mỏi và tê tay. chuyển từ chế độ gió nóng qua gió mát thì mất mấy phút vẫn nhưng nóng, không mát ngay như các dòng máy khác.",1,0,0,0
"máy cầm khá nặng tay dễ gây mỏi, phần đầu máy gắn không chắc, khi va chạm nhẹ cũng đủ để bay ra.",1,0,0,0
"máy hoạt động bình thường tuy nhiên phần thân máy bị nứt ra như hình, mong tiki và cửa sản phẩm xem xét",1,0,0,0
tệ sản phẩm quá tệ! đầu nối dễ bung ra. chẳng dùng được!,1,0,0,0
mới mua được hơn tháng đã hỏng,1,0,0,0
sản phẩm giá giá giá rẻ .nên tạm ổn tốt chấp nhận,1,0,0,0
mô tả sản phẩm ghi sản xuất ở indonesia. sản phẩm giao đến thì sản xuất ở trung quốc. giống gạt khách sản phẩm quá!,1,0,0,0
máy quá yếu. cạo không sạch,1,0,0,0
"máy nhìn bề ngoài giống của hãng lock lock thật. nhưng nhìn kĩ sẽ thấy lớp nhựa mỏng hơn, nhìn ""dại"" hơn sản phẩm chính hãng. vắt cam xong, cho đường vào, lấy thìa inox khuấy cho tan đường là ca nhựa bị xước sản phẩm chính hãng thì không . tất nhiên, sản phẩm thật giá 360k, sản phẩm này chỉ 210k. nói chung, chịu giá cao tí nhưng sản phẩm chất lượng nhưng hơn chưa kể loại nhựa làm ra sản phẩm này có an toàn không",1,0,0,0
"máy quá yếu, không thể vắt cam được, đè mạnh hay đè nhẹ gì nó cũng rì rì đứng yên một chỗ.",1,0,0,0
máy này nhựa giòn. sản phẩm rất mong manh cực kỳ dễ vỡ nhưng không bao cẩn thận. vỡ mất cái nắp. rất là không hài lòng,1,0,0,0
"máy dùng mấy ngày đầu thì khá êm. sau đó thì vắt theo chiều kim đồng hồ thì máy kêu to, nhưng chiều ngược lại thì lại kêu bình thường. vắt kiệt nước, vắt được cả tép cam, tuy nhiên lúc vắt vừa phải ấn vừa phải bóp cam thì mới nhanh kiệt nước.",1,0,0,0
máy chạy rất yếu. mỗi lần vắt được 2 quả là máy đơ phải 5 phút sau mới vắt được tiếp. mình mới dùng 3 lần. hôm nay vắt được quả rưỡi đã đơ. nhà đông người không nên mua. tiền nào của nấy!,1,0,0,0
"khá thất vọng ! bếp có 8 mức, thấp nhất là 80oc, hơi cao. các nút nhiệt, thời gian không được lưu, trong lúc nấu, khi cần điều chỉnh thường bị reset từ đầu. không có tờ hướng dẫn sử dụng kèm theo.",1,0,0,0
"bếp nóng mỗi 1 góc, dùng hơn năm đã lỗi e2 không nấu được",1,0,0,0
"bếp nấu khi sôi không đều , như sản phẩm phếch ý. buồn quá không dám kêu . cửa sản phẩm lên xem lại sản phẩm của mình",1,0,0,0
"bếp nấu nhanh, nhưng khi nấu quạt chạy ồn.",1,0,0,0
"nhiệt làm nóng không đều, chỉ nóng 1 bên nồi",1,0,0,0
"giao sản phẩm quá chậm, từ khi đặt tới khi nhận sản phẩm gần 2 tuần",0,0,1,0
"bàn ủi không phun hơi nhưng cứ phun nước ra nóng bỏng tay ướt áo không ủi được, giờ sửa sao đây cửa sản phẩm ơi, mua 1 năm về dùng chưa được 5 lần vì lúc được lúc không, cứ bị trào nước ra hoài",1,0,0,0
"các nút điều khiển không dùng được. nút phun hơi thì không điều khiển được, nút nguồn thì không tắt được",1,0,0,0
sản phẩm bị trầy xước nhìn như cũ,1,0,0,0
"bàn ủi mua về, dùng chưa tới 5 phút đã không dùng được nữa! xin cho tôi đổi sơnm nhất có thể",1,0,0,0
giao chậm. đánh giám 2 sao,0,0,1,0
"ủi kém lắm, ủi xong thì quần áo ẩm ẩm",1,0,0,0
"bình nước quá nhỏ, ủi chưa hết 1 cái áo là hết nuóc và không thẳng vải",1,0,0,0
sản phẩm về sử dụng lần thứ nhất 20 phút sau đó châm thêm nước sử dụng lại đèn nhấp nháy liên tục và tự động chảy nước không sử dụng được nữa.,1,0,0,0
mình cần bảo hành làm tnao ah,0,1,0,0
