content,Quality,Service,Shipping,Packing
"mình mua thùng 48 bịch sữa dutch lady nhưng khi mở ra thì nhiều bịch có dấu hiệu mốc, hôi, và một số bịch khác thì phồng, sắp hư do bị ngâm trong sữa từ những bịch đã bể trước đó. liên hệ tổng đài thì chỉ được hỗ trợ mã giảm giá 8 , vừa mất thời gian vừa không giải quyết được vấn đề chất lượng. đây là trải nghiệm kém và mình không muốn mua lại trên tiki. mọi người nên cân nhắc kỹ trước khi đặt.",1,1,1,1
thải ra quá nhiều rác thải từ việc mua 2 thùng sữa của tiki trading,1,1,1,1
"sữa có vấn đề nhưng dám giao đến tay người tiêu dùng, phản ảnh thì bảo chờ",1,1,1,1
sữa bị đóng bánh thành mảng,1,1,1,1
"đánh giá không tính điểm giao sản phẩm viettel post rất vớ vẩn, bị vỡ hết sữa. lần trước đặt thì giao sai sản phẩm, quá vớ vẩn",1,1,1,1
"sữa mình không phàn nàn gì nhưng thái độ của anh shipper rất chán, vì mình đặt tiki chưa gặp tình huống này bh a ấy gọi cho mình l1 thì mình báo t2 giao sản phẩm giúp mình vì mình không có nhà xong a ấy báo mình là nếu sáng t2 không nhận được sẽ back sản phẩm, không giao sản phẩm nữa thái độ cực kì khó chịu đến t2 mình đợi cả sáng thì trưa mới giao sản phẩm",1,1,1,1
"544319380 đơn sản phẩm này đặt từ ngày 19-10 đến nay ngày 12/11 chưa nhận được sản phẩm,liên lạc và khiếu nại mù khơi,coi như mất,trừa tiki",1,1,1,1
"-giao thiếu sản phẩm , mình đã phản hồi qua nhưng hơn 4 ngày vẫn không có ai trả lời và giải thích .",1,1,1,1
vị ngon. nhưng sản phẩm bị móp méo nhiều và hạn sử dụng nhưng rất ngắn chỉ nhưng 2 tháng .,0,0,0,0
hôm nay 18/12mình nhận sản phẩm cũng châm hơn bình thường .hsd cũng không được dài như mong đợi.đã thanh toán nên thôi chấp nhận,1,1,1,1
chất lượng tốt. lúc nhận bị móp méo và thùng bị ướt nhưng không ảnh hưởng hộp bên trong.,0,0,0,0
vận chuyển cả tháng mới nhận được sản phẩm,1,1,1,1
giao quá chậm so với tgian báo với khách sản phẩm.,1,1,1,1
mì bị vỡ vụn nhiều. gói nào cũng bị,0,0,0,0
"mua thùng mì 30 gói, mở ra chỉ có 29 gói. đề nghị nhà cung cấp xem lại sản phẩm hóa trước khi bán",1,1,1,1
chán ngắt. hối hận vì đã mua. với giá ấy mua loại khác ngon hơn nhiều,1,1,1,1
"đóng gói cẩu thả, hỏng gần hết các hộp.mình vẫn nhận thay cho shipper vì lỗi từ khâu đóng gói.vận chuyển cũng từ hà nội chứ không phải ở tp hcm.sẽ không mua những mặt sản phẩm dễ hỏng như này ở tiki nữa.",1,1,1,1
"sữa bị đông đặc và đóng tảng. em không rõ sản phẩm bị làm sao nữa, tiki hỏi famisoy giùm em.",1,1,1,1
"tiki không giao sản phẩm 1 tháng rồi, nhưng cũng không trả tiền cho đơn đã thanh toán trước của người mua. dịch vụ kém quá và sẽ không dùng lại.",1,1,1,1
"sữa ghi là ""nguyên chất"" gây nhầm lẫn làm mình tưởng là không đường, mình lại mua thùng lớn 10 hộp nữa chứ.",1,1,1,1
vị quá ngọt. quá nhiều đường không hề tốt cho sức khỏe,1,1,1,1
"giao sản phẩm lâu wa , sua đê lanh uông ngon vua tui tiên",0,0,0,0
"sữa bị hư 1 hộp, giao sản phẩm nhanh.",1,1,1,1
