content,Quality,Service,Shipping,Packing
thải ra quá nhiều rác thải từ việc mua 2 thùng sữa của tiki trading,0,0,0,1
sữa bị đóng bánh thành mảng,1,0,0,0
vị ngon. nhưng sản phẩm bị móp méo nhiều và hạn sử dụng nhưng rất ngắn chỉ nhưng 2 tháng .,1,0,0,0
hôm nay 18/12mình nhận sản phẩm cũng châm hơn bình thường .hsd cũng không được dài như mong đợi.đã thanh toán nên thôi chấp nhận,1,0,0,0
vận chuyển cả tháng mới nhận được sản phẩm,0,0,1,0
giao quá chậm so với tgian báo với khách sản phẩm.,0,0,1,0
"mua thùng mì 30 gói, mở ra chỉ có 29 gói. đề nghị nhà cung cấp xem lại sản phẩm hóa trước khi bán",1,0,0,0
chán ngắt. hối hận vì đã mua. với giá ấy mua loại khác ngon hơn nhiều,1,0,0,0
"đóng gói cẩu thả, hỏng gần hết các hộp.mình vẫn nhận thay cho shipper vì lỗi từ khâu đóng gói.vận chuyển cũng từ hà nội chứ không phải ở tp hcm.sẽ không mua những mặt sản phẩm dễ hỏng như này ở tiki nữa.",0,0,0,1
"sữa ghi là ""nguyên chất"" gây nhầm lẫn làm mình tưởng là không đường, mình lại mua thùng lớn 10 hộp nữa chứ.",1,0,0,0
vị quá ngọt. quá nhiều đường không hề tốt cho sức khỏe,1,0,0,0
"giao sản phẩm lâu wa , sua đê lanh uông ngon vua tui tiên",1,0,0,0
"sữa bị hư 1 hộp, giao sản phẩm nhanh.",1,0,0,0
"giao sản phẩm bể sữa tùm lum, bó tay, mọi người cân nhắc không mua tránh bị giống mình.",0,0,0,1
"bị vỡ mấy bịch bên trong, ẩm móc, bốc mùi, nhìn chẳng muốn chạm vào, lần đầu đặt sản phẩm trên tiki nhưng giao sản phẩm kiểu vậy không dám đặt lại lần sau.",1,0,0,0
"sản phẩm fami thì khỏi chê, chưa tới ngày giao nhưng giao chi, rồi thuê bên ahamove giao để rồi hư sản phẩm chay ướt hết cả thùng, cũng may chỉ chảy 1 bịt sữa.",0,0,1,0
"giao sản phẩm nhanh , em thấy mọi người ai mua cũng không sao đến tới em mua thùng sữa của em bị bịch ra chảy ướt hết.",0,0,0,1
"lạm dụng nhiều chất tốt định, chất tạo độ đặc nên không nguyên chất, không thật vị đậu nành, quá ngọt",1,0,0,0
"sản phẩm nhận sản phẩm bị vỡ hỏng hết rồi, đang đợi tiki xử lý . đã quay video đầy đủ cung cấp cho tiki",1,0,0,0
lần đầu tiên nhưng bị như thế này thùng sữa bị vỡ.giao sản phẩm nhanh.shipper nhiệt tình.,1,0,0,0
"sản phẩm giao hỏng không vấn đề, đang đợi đổi lại. nhưng nhân viên vô cùng tệ, giao sản phẩm nhưng rất thái độ với khách. nv của best",0,1,0,0
chất lượng tốt đúng hình giao sản phẩm nhanh,1,0,0,0
giao sản phẩm không đúng phí giao sản phẩm,1,0,0,0
"mua thùng sữa nhưng bị phồng mất 8 hộp. sữa chạy be bét, bảo giao sản phẩm trả lại sản phẩm thì họ bảo "" cái ấy a phải chịu"" sữa này nhưng uống vào chắc nhập viện luôn",1,0,0,0
"date gần quá, được 2 tháng à",1,0,0,0
shipper thấy hẻm nhưng không chịu vào khách phải tự ra khuân sản phẩm vào,0,1,0,0
"nhân viên giao sản phẩm vất sản phẩm vào nhà không 1 câu nói, làm như khách xin vậy",0,1,0,0
"cafe có vị ngai ngái, cần nhiều sữa hơn",1,0,0,0
sao kỳ này vị cafe có vị chua chua không ngon,1,0,0,0
"sản phẩm nát bét thế này, làm ăn quá tiki ơi, không nhưng lời gì để nói",1,0,0,0
"sau hơn 1 tháng đặt thì đơn sản phẩm mới được giao, ghê quá",0,0,1,0
"mình mua sữa này rất nhiều lần rồi, nhưng mua của tiki trading và thành thuận thiên, lần nay mua của bách hoá xanh thì sữa bị như vầy! nguyên thùng 4 lốc thì có 2 lốc sữa bị đổ ra ngoài, hộp nào cũng có mùi chua, hôi, hộp bị phồng to, sữa bên trong thì vón cục nhưng hạn sử dụng nhưng lâu, đến 19/08! cảm thấy rất lo ngại không dám cho bé uống những hộp nhưng lại! bé nhà mình mới hơn 2 tuổi, uống sữa này cả năm nay đều mua trên tiki, chắc mai mốt ra siêu thị mua cho an tâm. nhưng sữa lần này vỏ hộp cũng khác!",1,0,0,0
"mới nhận sản phẩm khui ra có 1 hộp đã bị phồng, sữa đổ ra đóng ván khắp thùng. thùng sữa dễ bể nhưng tiki chỉ quấn có 1 lớp màng bọc mỏng bên ngoài, dạo này tiki đóng đồ chán quá :",1,0,0,0
càng ngày chất lượng phục vụ giao sản phẩm càng tệ . giao sản phẩm quá sớm do mình di chuyển nên không nghe được máy nhận sản phẩm. chưa qua 9h10p gọi lại đã trả sản phẩm về kho. về tới nơi kiểm tra sản phẩm thì như thế này. thực sự rất bực .,1,0,0,0
"thùng sữa bị rạch trên mặt như hình, lúc giao không để ý. mở ra uống có vài hộp bị hư, bốc mùi.",1,0,0,0
"1 hộp bị xì, 2/4 blocks không nhưng đảm bảo vệ sinh để sử dụng",0,0,0,1
lần này giao bạn gói không kỹ làm xì hết 2 họp sữa . lỡ mở ra rui nên không trả sản phẩm lại . lần sau mong là cửa sản phẩm gói kỹ hơn nhe.,0,0,0,1
"sữa thơm, ngậy, nhạt như sữa không đường! không phù hợp vs bạn không được uống sữa không đường hoặc bụng dạ khó tiêu",1,0,0,0
"sản phẩm giao tới bị bể, hư hỏng",1,0,0,0
cửa sản phẩm giao sữa bị bể hư sữa.,1,0,0,0
"- giao sản phẩm: tốt, nhanh, thùng nguyên vẹn không móp méo. - vị: vị có mùi rất lạ. mình uống fami rất nhiều lần, đây là lần đầu bị mùi này. trước mắt mình mới uống thử 1 hộp, khi tới mấy hộp khác sẽ đánh giá tiếp.",1,0,0,0
"không hài lòng ,nhanh hỏng",1,0,0,0
"sữa rất thơm ngon và mua sale nên khá giá giá rẻ, giao sản phẩm nhanh lắm luôn. yêu cửa sản phẩm",1,0,0,0
.không ngon như đã nghĩ. ăn không hợp khẩu vị,1,0,0,0
giao sản phẩm không thành công nhưng tôi đã thanh toán thành công thì có được trả lại tiền ko? vì lúc đó cả nhà bị cô vít,1,0,0,0
"thùng sữa đúng như mô tả, hạn dùng cũng nhưng lâu, có điều tiki nên chú ý với bên giao cẩn thận nhẹ tay, chứ không lại bị bể bịch tèm lem hết ra.",1,0,0,0
chất lượng tốt nhưng giao sản phẩm cận date quá. đặt sản phẩm 12/1/2022 nhưng 8/3/2022 hết hạn. tiki đúng là càng lúc càng có vấn đề nhưng,1,0,0,0
sản phẩm về tới nơi bị móp méo hỏng mất 3 bịch,1,0,0,0
giao sản phẩm quá lâu. trễ hơn thời gian dự kiến. nhưng đơn sản phẩm dự kiến giao ngày 5/10 nữa nhưng vẫn chưa giao,0,0,1,0
tại sao đặt có thùng sữa lại không giao chỉ giao có nước giặt là sao tiki,0,0,1,0
"bữa không nhận được sản phẩm, lỗi do mình nhận nhưng không quay lại cảnh bóc sản phẩm",0,0,1,0
"giao sản phẩm lâu, khi nhận sản phẩm thì bị đánh rơi hay sao nhưng ướt hết thùng sữa thì bị vỡ bốc mùi thum thủm.vì mình không ở nhà nhờ ng nhận hộ đến khi mở ra thì đúng là không chấp nhận được",1,0,0,0
mua nhiều lần nên tin tưởng ít kiểm sản phẩm lần này cũng kg kiểm sản phẩm nên nhận luôn mở ra mất 2 lóc ghê thiệt,0,1,0,0
"trời ơi giao sản phẩm gì nhưng lâu kinh khủng khiếp, hơn nửa tháng trời mua trả tiền trước rồi nhưng vậy ák, chắc mua lần đầu cũng như lần cuối luôn, ngày nào cũng gọi tổng đài khiếu hết cảm rất phiền, trong khi mua trê nhất cũng khoảng 1 tuần nhưng nhưng bực bội đừng nói chi đợi quá trời lâu. không biết là lỗi do bên tiki hay bên giao sản phẩm nhưng xl phải xoá ứng dụng tiki thôi không thể chấp nhận được",0,1,0,0
"không hài lòng, ảnh để loại có tích thẻ đổi quà sản phẩm thật thì mẫu cũ, biết mẫu cũ như thế mua nơi khác giá giá rẻ hơn lúc mua 366k",1,0,0,0
"khách sản phẩm, kêu tặng quà cho đơn sản phẩm cao nhất, cũng ráng mua thử 1 đơn tối đã 5 thùng, lên đơn thì tự ý tách ra nhiều đơn lẻ, xong khóa tài khoản bảo khách sản phẩm trục lợi",0,1,0,0
"sản phẩm không giống mô tả,không phải là sản phẩm có tem đổi áo như quảng cáo",1,0,0,0
bán sản phẩm cũ không có chuong trình khuyến mãi vũ trụ nang động nhưng hình ảnh quảng cáo chụp toàn thùng mới có ctrinh kmai,1,0,0,0
mua 3 thùng sữa 1 thùng 12 ngày rồi chưa nhận 2 thùng đặt cuối tuần. 2-3 ngày sau giao. đặt sớm giao muộn tệ. 10.9 đặt. lịch 21 9 nhận. nay 23.9 chưa nhận.,0,0,1,0
"tôi mua sản phẩm của tiki nhiều lần rồi, nhưng đúng hôm vừa rồi mua nhưng mãi sản phẩm chưa giao. hôm nọ có nhân viên giao sản phẩm gọi thì mình bảo chiều mới có nhà, vậy nhưng 3 ngày rồi chưa qua. nếu đi giao sản phẩm kết hợp tuyến đường, thì cũng phải xem khách có thể nhận sản phẩm vào khung giờ nào chứ. chứ cứ kiểu đi giao không giao được thì bỏ là kém.",0,0,1,0
