content,Quality,Service,Shipping,Packing
"tai nghe mua về xài không được, không tự kết nối bluetooth, bây giờ phải đi tìm chỗ sửa! quá tệ!",1,0,0,0
sản phẩm bị hư 1 bên tai. tôi cần đổi mới.,1,0,0,0
cứ tưởng có phần che mặt hình iphone! nay xuống 177k là phải!,0,0,0,0
"về loa thì nghe nhạc khá là tốt, khi mua thì được tặng thẻ nhớ. sản phẩm giống với hình ảnh của cửa sản phẩm nhưng nhưng đài bắt sóng khá yếu.",1,0,0,0
"rất lâu rồi mình mới quay lại mua sản phẩm trên tiki nhưng lại có một trãi nghiệm rất tệ, lần đầu tiên mình đánh giá 1 trên sàn tmđt nhưng nhưng đáng buồn đây lại là sản phẩm của chính tiki xử lý chứ không phải của người bán, hộp rất cũ dơ trầy và có dấu hiệu ẩm móc, tai nghe được sản xuất từ 2024, kích hoạt bảo hành thì hết hạn 2025, phải lên cập nhật lại ngày mua sản phẩm với apple và chờ xác thực từ phía apple, mình không biết tiki có đội ngũ kiểm tra sản phẩm trước khi đóng gói gửi đến tay khách sản phẩm không nhưng với cách làm này thì chắc chắn tiki sẽ mất đi rất rất nhiều sự tin tưởng của khách sản phẩm, mình biết sản phẩm đã nhận và đã khui thì quy trình đổi trả rất rất phức tạp nên nhận xét này nhằm gửi đến bộ phận nào đã xử lý đơn sản phẩm này để các bạn làm việc tốt hơn",1,1,0,1
đề nghị tiki giải thích tại sao tai nghe airpods mới nhận ngày 16/06/2025 và kích hoạt cùng ngày lại có bảo hành tới ngày 23/05/2026.,0,1,0,0
airpods mới dùng đã hư. chính sách bảo hành lòng vòng. cần nhân viên trả lời nhưng cứ đưa ai. mất thời gian. không uy tín.,0,1,0,0
hộp hơi móp + dơ. do tính chất máy chụp tự làm đẹp nên nhìn đỡ hơn thực tế.,0,0,0,1
sao mua ngay 24/1 nhưng kích hoạt bảo hành 6/1. chứng tỏ bị bóc seal trước hay sao,1,0,0,0
sản phẩm mua ngày 26/3/2025 nhưng hạn bảo hành có đến tháng 24/12/2025,0,0,0,0
"mô tả sản phẩm chính hãng nhưng dán mấy lần không dính,bên trong bụi ,hộp bụi bẩn ,giá cao nhưng không bằng cả dán vỉa hè.",1,0,0,0
"giao sai sản phẩm cho khách mình order 11 nhưng giao 11 promax. không để ý tháo ra đến lúc dán vô thì ms thấy dôi ra 1 khúc, quá bực. mất tiền nhưng sẽ không bao giờ order ở đây nữa -_-",1,0,1,0
