content,Quality,Service,Shipping,Packing
"tai nghe mua về xài không được, không tự kết nối bluetooth, bây giờ phải đi tìm chỗ sửa! quá tệ!",1,0,0,0
sản phẩm bị hư 1 bên tai. tôi cần đổi mới.,1,0,0,0
"về loa thì nghe nhạc khá là tốt, khi mua thì được tặng thẻ nhớ. sản phẩm giống với hình ảnh của cửa sản phẩm nhưng nhưng đài bắt sóng khá yếu.",1,0,0,0
đề nghị tiki giải thích tại sao tai nghe airpods mới nhận ngày 16/06/2025 và kích hoạt cùng ngày lại có bảo hành tới ngày 23/05/2026.,0,1,0,0
airpods mới dùng đã hư. chính sách bảo hành lòng vòng. cần nhân viên trả lời nhưng cứ đưa ai. mất thời gian. không uy tín.,0,1,0,0
hộp hơi móp + dơ. do tính chất máy chụp tự làm đẹp nên nhìn đỡ hơn thực tế.,0,0,0,1
sao mua ngay 24/1 nhưng kích hoạt bảo hành 6/1. chứng tỏ bị bóc seal trước hay sao,1,0,0,0
"mô tả sản phẩm chính hãng nhưng dán mấy lần không dính,bên trong bụi ,hộp bụi bẩn ,giá cao nhưng không bằng cả dán vỉa hè.",1,0,0,0
sản phẩm không giống như tôi đã đặt,1,0,0,0
"dán thì đẹp, nhưng bị biết cái loa trên màn hình, nghe gọi nói chuyện rất nhỏ, bên đầu dây kia nói và nghe đều không nghe rõ, khi chạy xe là hoàn toàn không nghe được rất nhỏ",1,0,0,0
"sản phẩm bị mẻ nhỏ bên trong, dán xong mới thấy mẻ. tiki giao sản phẩm bị hư",1,0,0,0
lần một giao thì bị vỡ. lần 2 giao thì nhầm sang sản phẩm kính chống nhìn trộm. kính kém như quảng cáo.,1,0,0,0
sản phẩm tệ nhé. miếng dán mỏng không thể gọi là kiếng cường lực được,1,0,0,0
sản phẩm ghi hỗ trợ iphone x nhưng không kích cỡ lại không khớp. cửa sản phẩm nói chuyện không đoàng hoàng,1,0,0,0
"sản phẩm không đúng với iphone 14, ngược đối với sản phẩm",1,0,0,0
đen vừa mua đã vỡ. b. b. b,1,0,0,0
nhầm sản phẩm rồi cửa sản phẩm của mình 12 prm nhưng cửa sản phẩm gửi xs max dán không vừa,1,0,0,0
tai nghe mới mua nghe được nửa ngày thì tịt không nghe được nữa?,1,0,0,0
"chất lượng da tệ, dễ bong tróc, nhấn móng tay vào là tróc",1,0,0,0
"da đểu, không nên mua, phí tiền",1,0,0,0
"sản phẩm không giống hình, viền camera không có da như hình. nhân viên giao sản phẩm thái độ quá tệ",1,0,0,0
mình muốn đổi cái khác ốp bị hở hết viền thế này thì sao dùng được.,1,0,0,0
