content,Quality,Service,Shipping,Packing
giao không đúng hang như hinh,1,1,1,1
sản phẩm chất lượng quá kém,1,1,1,1
"giao sản phẩm không đúng size, nhắn tin không trả lời",1,1,1,1
sản phẩm quá nhỏ so với ban đầu,1,1,1,1
vải dể rách wa mong nhà bán cải thiện lại,0,0,0,0
"mua màu rêu cửa sản phẩm gửi không đúng màu, không uy tín",1,1,1,1
"cửa sản phẩm quảng cáo size xl cho người 78kg nhưng người nhà mình 72 kg, cao 1m72 mặc chật như bó giò chả. cửa sản phẩm bán sản phẩm không có tâm.",1,1,1,1
cửa sản phẩm cho đổi lại size l được ko? size mình nhưng s nhỏ quá🥶🥶🥶,1,1,1,1
mình tin tưởng cửa sản phẩm và ủng hộ sản phẩm vn. nhưng sản phẩm chất lượng kém quá. nhẹ cái là rách luôn. quá thất vọng,1,1,1,1
"bình thường. thqams mồ hôi, nhưng ủ mùi nhiều",0,0,0,0
mịn mát chưa mặc nên chưa biết độ bền thế nào. giao sản phẩm sản phẩm khá nhanh,0,0,0,0
đưa sai size chán cho 1sao,1,1,1,1
giao sai mầu; đặt mầu đen với ghi xám giao mầu xanh,1,1,1,1
đổi size mình. 5 ngày sau giao sản phẩm hang lại đổi vẫn size mình .đề nghi cửa sản phẩm đổi sản phẩm hoặc trả sản phẩm,1,1,1,1
"ngon, khóa chất lượng xấu, không là hoàn hảo",0,0,0,0
cạn lời. mình nghĩ là nó là sản phẩm mới nhưng do màu nên thấy củ hơn cả quần mình đã mặc 1 năm. kiểu dáng thì tốt ấy,0,0,0,0
"tôi đặt size xl 1 cái trắng, 1 cái đen nhưng giao 2 cái đen, lại 1 lớn 1 nhỏ. này là cửa sản phẩm không có sản phẩm bỏ bừa thế vô à",0,0,0,0
"đặt 3 màu khác nhau, giao có 1 màu làm ăn chán",1,1,1,1
"nhanh sút chỉ, thun đai lưng nhanh dãn",1,1,1,1
"nhanh hư dây thun quần, sút chỉ",1,1,1,1
quần quá nhỏ so với size thực tế,1,1,1,1
giao sản phẩm không dung size. tem size nhưng bị cắt .kết quả mặc không vừa. sao lại làm ăn như vậy được nhỉ.,1,1,1,1
sản phẩm giá cao quá bủh bủh lmao,1,1,1,1
quá nhỏ so với size thực tế,1,1,1,1
"vai chất lượng không cao, may tho",0,0,0,0
giao sản phẩm sai size . .,1,1,1,1
đặt 2cai 2màu nhưng cửa sản phẩm gửi 1 màu. làm ãn đảo,1,1,1,1
"sổ chỉ chân quần, chưa tốt lắm.",1,1,1,1
mua 2cai 2màu nhưng gửi 1màu. bọn đảo,1,1,1,1
giao không đúng size. tem size con bị cắt. mặc không vừa.,1,1,1,1
"size hơi nhỏ, giao sản phẩm không đúng mẫu",0,0,0,0
mua 3 chiec nhưng gửi 2 vẫn tính tiền 3,1,1,1,1
giao sai sản phẩm đặt sai xxl nhưng giao sai mình là sao không có sdt không có địa chỉ của cửa sản phẩm đề nghị cửa sản phẩm đổi sản phẩm lại cho tôi,1,1,1,1
sản phẩm đẹp. nhưng gửi không đúng sai,1,1,1,1
sản phẩm đảm bảo chất lượng cao,0,0,0,0
không fốt lấm?,1,1,1,1
"quần khong như quảng cáo, tụt chỉ",0,0,0,0
thất vọng vì logo được in nhưng không phải được thêu. sau một thời gian logo bong tróc hết. nhìn nó như một chiếc quần không thương hiệu.,0,0,0,0
"may form xấu, túi nông, chất lượng vải thấp",1,1,1,1
quần mặc nhanh rách. tuột chỉ …….,1,1,1,1
"sản phẩm bình thường, đáy quần hơi ngắn. so với giá thì cao nhưng chất lượng thì không bằng của chính hãng 5s actuve. tiki nên ktra cửa sản phẩm bán quần 5s active, treo sản phẩm 5s nhưng bán sản phẩm nhái.",0,0,0,0
đặt size l giao sản phẩm xl. chưa hài lòng về việc này.,0,0,0,0
tôi chưa nhan ₫c tiền của sản phẩm thu hồi,0,0,0,0
cửa sản phẩm giao khác size đặt sản phẩm,1,1,1,1
chất lượng quá kém so vs cái giá. quần mới nhưng chỉ thừa tùm lum. mặc 2-3 tuần bắt đầu có dấu hiệu bung chỉ. thất vọng vì đã mua 1 lần 3 cái.,1,1,1,1
tệeee. cực kì bực bội. quần dùng mấy tuần đã sờn. vải kém quá thể.,1,1,1,1
quần xấu giặt 1 lần nhăn nhúm và phai,0,0,0,0
như cái giẻ lau nhà. không giống như qc. anh em mua sản phẩm lưu ý nhé,1,1,1,1
áo toàn nhỏ ko. đặt xl giao sản phẩm mình không luôn. và khác màu nữa,1,1,1,1
