content,Quality,Service,Shipping,Packing
"đặt size mình vì mình 50kg nhưng nhưng bị chật lắm nha. mặc nhưng hằn lên thịt chịu không nổi, nên khuyên mọi người nên suy nghĩ chọn size cho kỹ đừng bị sai lầm như mình thì uổng tiền. nhưng tính mình thì đồ lót không giặt mình không ướm thử, thành ra cắt mạc giặt sạch hết rồi mới mặc thì ôi.chật quắn quéo",0,0,0,0
"tôi chọn size lớn nhất dành cho ng trên 70kg nhưng nhận sản phẩm là size nhỏ và không co dãn nhiều, tôi 48kg nhưng cũng quá nhỏ.",1,1,1,1
"cửa sản phẩm tư vấn size không đúng, mặc không vừa. đề nghị tiki cho đổi sản phẩm lại",1,1,1,1
mấy cái màu thấy ghê.nên giá giá rẻ là phải rồi.,1,1,1,1
"thấy vọng, chất lượng không như mong đợi, so với giá bán thì chất lượng như thế là quá giá cao",1,1,1,1
"sản phẩm đểu, thất vọng, quảng cáo một đàng giáo một nẻo",1,1,1,1
áo mình mua màu kem nhưng giao sản phẩm màu trắng nhưng nhìn cũng tốt,1,1,1,1
mắc nhưng xấu kinh khủng! tốn tiền,1,1,1,1
"lần đầu mua sản phẩm tiki, giao đúng màu đúng size hài ở chỗ mua áo nữ giao áo nam",1,1,1,1
"mọi thứ đều tốt hết, có điều cửa sản phẩm thiên vị cho người khác quá giao về màu trắng chiếm hết 50 nha cửa sản phẩm, nay tạm ổn tốt cho cửa sản phẩm 3 sao về vấn đề này",0,0,0,0
cần những màu basic như trên hình nhưng nhận về những màu rất chói. dù biết ghi giao màu ngẫu nhiên nhưng mình đã nghĩ ngẫu nhiên là ngẫu nhiên như trong hình minh hoạ thôi. với mình trải nghiệm này rất tệ luôn.,1,1,1,1
"sản phẩm nhái vải rất mỏng, giặt 2 lần giãn luôn.tôi từng sài hãng này dùng tốt, nay mua lại thật thất vọng",1,1,1,1
"trước mình đã mua 1 lần, lần này mua lại cảm thấy khá thất vọng. chất vải các màu không đồng đều, màu trắng làm loại lại khá thô và cứng. bao bì nhìn cũ dơ bẩn, nhìn phát nản",1,1,1,1
"vải tạm ổn tốt, với mình thì thấy không mềm lắm đâu ạ. viền quần khá cứng nên bị ngấn mông ngồi khá là đau mông và sẽ hằn nhiều khi mặc đồ. mình đã mua thử annie, paltal combo 10 cái nhưng toàn giao màu đậm không được đẹp , miley thì combo vải miley này không mềm bằng 2 loại kia. màu nude, màu đen nhìn tốt nhưng màu hồng nhạt và trắng nhìn kiểu hơi giá giá rẻ tiền nên không đẹp. mình mua đúng size l sau khi đọc nhận xét của mấy bạn, mình 53kg và vòng 3 khoảng 91cm, vừa nhưng rộng hơn xíu thì cũng thoải mái. mỗi bịch có cả nude đen hồng trắng kem đủ cả nhé.",1,1,1,1
"vòng mông 95 nhưng gửi size s thì mặc thế nào được, xem thế nào hướng dẫn đổi size đi cửa sản phẩm",1,1,1,1
"đặt size xl nhưng giao size s, không mặc vừa, mong cửa sản phẩm đổi lại size xl!",1,1,1,1
"sản mặc thoải mái, giao đúng size và nhanh",0,0,0,0
"sản phẩm dùng cũng tạm ổn tốt được, tiki bắt buộc nhận xét dài quá",0,0,0,0
không thích màu sặc sỡ nhưng giao màu hồng ghê quá.,0,0,0,0
rất tốt. mua giảm xuống 1 size,1,1,1,1
"tính ra 20k một cái, nếu mua ngoài chợ thì cũng có giá này nhưng quần đẹp hơn, nhưng đó là quần trung quốc, cái này đảm bảo là sản phẩm việtnam luôn, mặc thì cũng khá thoáng, mịn, size mình nhìn hơi to chút xíu, dáng lưng hơi cao, giao sản phẩm cực nhanh, nay đặt mai giao, thích tiki quá",0,0,0,0
"giao không đúng màu, màu đỏ hồng không luôn.",1,1,1,1
quần vải đẹp mắt giao màu gì không à. đúng là đồ sale có khác,1,1,1,1
mua 2 lần sản phẩm không giống mẫu,1,1,1,1
"đặt size l, giao size s là sao vậy? có đổi trả được không ạ?",1,1,1,1
sản phẩm xài tốt. mình mua cả gần trăm cái trên tiki. tuy nhiên vừa rồi mua thì vừa cho máy giặt 1 lần trước khi sử dụng đã bị rách rồi,0,0,0,0
"chất liệu tốt, nhưng size xl nhưng nhỏ không mặc được luôn",0,0,0,0
tôi chưa nhận được sản phẩm tại sao lại ghi giao sản phẩm thành công. vui lòng liên hệ tôi gấp,1,1,1,1
"chất lượng tốt, nhưng sao áo nữ lại may áo nam thế cửa sản phẩm ơi, áo diễu nách, mí vai, mí phần nối sau lưng. không giống mẫu.",0,0,0,0
"đóng gói cẩn thận, nhưng áo không như giới thiệu",0,0,0,0
"form áo không chuẩn tay quá rộng ,chât vải kém lại hơi có mùi.",1,1,1,1
"đặc size mình lại giao en l, đích bự nhưng hay mắc cỡ mình đó",1,1,1,1
"treo đầu dê , bán thịt .",1,1,1,1
treo đầu dê bán thịt .,1,1,1,1
tạm ổn tốt được kém lắm mong cửa sản phẩm làm tốt hơn,1,1,1,1
"chất quần xấu, nilon thô bí",1,1,1,1
giao sản phẩm khác sản phẩm! cần đổi trả ngay!,1,1,1,1
tôi đặt mua quần màu nâu cửa sản phẩm lại gửi màu đen.,1,1,1,1
với 114k thì vải rất tốt nhưng size s nhưng to cỡ xl,0,0,0,0
mua 5 chiếc nhưng thiếu tận 2 cái. cửa sản phẩm xem xét xử lý cho mình. sản phẩm chất tạm ổn tốt tốt,1,1,1,1
combo 5 cái nhưng sao giao có 4 cái.không hiểu tiki làm việc sao nữa.đến hôm nay vẫn chưa xử lí.thất vọng cách làm việc,1,1,1,1
"quần có ghi 92 là nylon, nhưng trong giới thiệu của tiki là 95 cotton. đề nghị sửa lại thông tin của mặt sản phẩm cho đúng với thực tế.",0,0,0,0
chất liệu không đúng như tiki giới thiệu. tiki giới thiệu sản phẩm 95 cotton nhưng lúc nhận sản phẩm là 92 nilon.,1,1,1,1
"chất lượng tạm ổn tốt tốt, có kèm 1 quần lót bơi nhưng kích thước không phù hợp. áo có miếng mút độn ngực nhưng không được may cố định, dẫn tới khi bơi thì chạy lung tung. rốt cục phải vứt bỏ, bận áo ngực bên trong như bình thường.",0,0,0,0
chị đặt áo màu vàng nhưng sao giao màu đỏ?,1,1,1,1
vải không phải chất lụa sờ tay thấy thô nhưng phần ren màu nhưng bị ố nữa,0,0,0,0
không phải lụa đường ren may không giống có mùi khó chịu vải ren bị ố,1,1,1,1
"sản phẩm đúng mẫu,chất liệu vải lụa chưa được như ý lắm",0,0,0,0
dạ cửa sản phẩm ơi cái bộ đồ của e sao nhỏ vậy ạ mong cửa sản phẩm đổi cho em được hông ạ,1,1,1,1
không hài lòng giao sản phẩm không đúng size . không có mục lựa chọn size không bao giờ mua lại,1,1,1,1
"giao 1 sản phẩm không đúng cỡ đã chọn cỡ s , quá to so với cỡ s",0,0,0,0
tại sao tôi đặc bộ người lớn nhưng ra trẻ em là sao,1,1,1,1
"1 bộ rất rộng, không đúng cỡ đã chọn là cỡ s",0,0,0,0
"áo đúng size theo bảng hướng dẫn, tuy nhiên cổ hơi rộng",0,0,0,0
"đã trả sản phẩm, màu tối hơn trên hình, gần như màu đen",0,0,0,0
áo ra màu hơn sản phẩm chợ ?,1,1,1,1
"gửi sản phẩm không đúng mẫu mã, sản phẩm gia công chưa cắt chỉ",1,1,1,1
sản phẩm không đúng mầu đã đặt.,1,1,1,1
"sản phẩm không đúng hình ảnh,chất lượng kém.",1,1,1,1
