content,Quality,Service,Shipping,Packing
"đặt size mình vì mình 50kg nhưng nhưng bị chật lắm nha. mặc nhưng hằn lên thịt chịu không nổi, nên khuyên mọi người nên suy nghĩ chọn size cho kỹ đừng bị sai lầm như mình thì uổng tiền. nhưng tính mình thì đồ lót không giặt mình không ướm thử, thành ra cắt mạc giặt sạch hết rồi mới mặc thì ôi.chật quắn quéo",1,0,0,0
mấy cái màu thấy ghê.nên giá giá rẻ là phải rồi.,1,0,0,0
"thấy vọng, chất lượng không như mong đợi, so với giá bán thì chất lượng như thế là quá giá cao",1,0,0,0
"sản phẩm đểu, thất vọng, quảng cáo một đàng giáo một nẻo",1,0,0,0
áo mình mua màu kem nhưng giao sản phẩm màu trắng nhưng nhìn cũng tốt,0,0,1,0
mắc nhưng xấu kinh khủng! tốn tiền,1,0,0,0
"lần đầu mua sản phẩm tiki, giao đúng màu đúng size hài ở chỗ mua áo nữ giao áo nam",0,0,1,0
"sản phẩm nhái vải rất mỏng, giặt 2 lần giãn luôn.tôi từng sài hãng này dùng tốt, nay mua lại thật thất vọng",1,0,0,0
"vòng mông 95 nhưng gửi size s thì mặc thế nào được, xem thế nào hướng dẫn đổi size đi cửa sản phẩm",0,1,0,0
rất tốt. mua giảm xuống 1 size,1,0,0,0
"tính ra 20k một cái, nếu mua ngoài chợ thì cũng có giá này nhưng quần đẹp hơn, nhưng đó là quần trung quốc, cái này đảm bảo là sản phẩm việtnam luôn, mặc thì cũng khá thoáng, mịn, size mình nhìn hơi to chút xíu, dáng lưng hơi cao, giao sản phẩm cực nhanh, nay đặt mai giao, thích tiki quá",0,0,1,0
"giao không đúng màu, màu đỏ hồng không luôn.",0,0,1,0
quần vải đẹp mắt giao màu gì không à. đúng là đồ sale có khác,1,0,0,0
mua 2 lần sản phẩm không giống mẫu,1,0,0,0
sản phẩm xài tốt. mình mua cả gần trăm cái trên tiki. tuy nhiên vừa rồi mua thì vừa cho máy giặt 1 lần trước khi sử dụng đã bị rách rồi,1,0,0,0
"chất liệu tốt, nhưng size xl nhưng nhỏ không mặc được luôn",1,0,0,0
"form áo không chuẩn tay quá rộng ,chât vải kém lại hơi có mùi.",1,0,0,0
"đặc size mình lại giao en l, đích bự nhưng hay mắc cỡ mình đó",0,0,1,0
"treo đầu dê , bán thịt .",1,0,0,0
treo đầu dê bán thịt .,1,0,0,0
tạm ổn tốt được kém lắm mong cửa sản phẩm làm tốt hơn,0,1,0,0
"chất quần xấu, nilon thô bí",1,0,0,0
giao sản phẩm khác sản phẩm! cần đổi trả ngay!,0,1,0,0
tôi đặt mua quần màu nâu cửa sản phẩm lại gửi màu đen.,0,1,0,0
với 114k thì vải rất tốt nhưng size s nhưng to cỡ xl,1,0,0,0
mua 5 chiếc nhưng thiếu tận 2 cái. cửa sản phẩm xem xét xử lý cho mình. sản phẩm chất tạm ổn tốt tốt,0,1,0,0
"quần có ghi 92 là nylon, nhưng trong giới thiệu của tiki là 95 cotton. đề nghị sửa lại thông tin của mặt sản phẩm cho đúng với thực tế.",1,0,0,0
"chất lượng tạm ổn tốt tốt, có kèm 1 quần lót bơi nhưng kích thước không phù hợp. áo có miếng mút độn ngực nhưng không được may cố định, dẫn tới khi bơi thì chạy lung tung. rốt cục phải vứt bỏ, bận áo ngực bên trong như bình thường.",1,0,0,0
chị đặt áo màu vàng nhưng sao giao màu đỏ?,0,0,1,0
vải không phải chất lụa sờ tay thấy thô nhưng phần ren màu nhưng bị ố nữa,1,0,0,0
