id,title,content,rating
15933278,Bình thường,"Đặt size M vì mình 50kg nhưng mà bị chật lắm nha. Mặc mà hằn lên thịt chịu không nổi, nên khuyên mọi người nên suy nghĩ chọn size cho kỹ đừng bị sai lầm như mình thì uổng tiền.

Mà tính mình thì đồ lót không giặt mình k ướm thử, thành ra cắt mạc giặt sạch hết rồi mới mặc thì ôi...chật quắn quéo",3
18271757,Rất không hài lòng,"Tôi chọn size lớn nhất dành cho ng trên 70kg nhưng nhận hàng là size nhỏ và ko co dãn nhiều, tôi 48kg mà cũng quá nhỏ.",1
16409889,Rất không hài lòng,"Shop tư vấn size ko đúng, mặc ko vừa. Đề nghị Tiki cho đổi hàng lại",1
16330036,Rất không hài lòng,mấy cái màu thấy ghê.nên rẻ là phải rồi.,1
16215230,Rất không hài lòng,"Thấy vọng, chất lượng không như mong đợi, so với giá bán thì chất lượng như thế là quá đắt 👎",1
11613543,Rất không hài lòng,.............. ..........,1
6183306,Rất không hài lòng,"hàng đểu, thất vọng, quảng cáo một đàng giáo một nẻo",1
6872374,Bình thường,,3
13476409,Không hài lòng,Áo mình mua màu kem mà ship màu trắng nhưng nhìn cũng ok,2
6285508,Rất không hài lòng,Mắc mà xấu kinh khủng!!! Tốn tiền,1
2677066,Rất không hài lòng,"Lần đầu mua hàng tiki, giao đúng màu đúng size hài ở chỗ mua áo nữ giao áo nam",1
20017735,Bình thường,"Mọi thứ đều ok hết, có điều shop thiên vị cho người khác quá giao về màu trắng chiếm hết 50% nha shop, nay tạm cho shop 3 sao về vấn đề này",3
9241518,Rất không hài lòng,"Cần những màu basic như trên hình nhưng nhận về những màu rất chói. Dù biết ghi giao màu ngẫu nhiên nhưng mình đã nghĩ ngẫu nhiên là ngẫu nhiên như trong hình minh hoạ thôi.
Với mình trải nghiệm này rất tệ luôn.",1
17887644,Rất không hài lòng,"Sản phẩm nhái vải rất mỏng, giặt 2 lần giãn luôn.tôi từng sài hãng này dùng ok, nay mua lại thật thất vọng",1
2475145,"chất lượng bình thường, vải cứng, thô","trước mình đã mua 1 lần, lần này mua lại cảm thấy khá thất vọng.
Chất vải các màu không đồng đều, màu trắng làm loại lại khá thô và cứng.
Bao bì nhìn cũ & dơ *** bẩn, nhìn phát nản",1
2280446,Tạm được,"Vải tạm, với mình thì thấy không mềm lắm đâu ạ. Viền quần khá cứng nên bị ngấn mông ngồi khá là đau mông và sẽ hằn nhiều khi mặc đồ. Mình đã mua thử annie, paltal (combo 10 cái nhưng toàn giao màu đậm ko được đẹp), miley thì combo vải miley này ko mềm bằng 2 loại kia. Màu nude, màu đen nhìn ok còn màu hồng nhạt và trắng nhìn kiểu hơi rẻ tiền nên ko đẹp. Mình mua đúng size L sau khi đọc nhận xét của mấy bạn, mình 53kg và vòng 3 khoảng 91cm, vừa nhưng rộng hơn xíu thì cũng thoải mái. Mỗi bịch có cả nude đen hồng trắng kem đủ cả nhé.",2
12301393,Rất không hài lòng,"vòng mông 95 mà gửi size s thì mặc thế nào được, xem thế nào hướng dẫn đổi size đi shop",1
14234224,Rất không hài lòng,"Đặt size XL mà giao size S, không mặc vừa, mong shop đổi lại size XL!",1
16101356,Bình thường,"Sản mặc thoải mái, giao đúng size và nhanh",3
14275520,Bình thường,"Hàng dùng Cũng tạm được, tiki bắt buộc nhận xét dài quá",3
9869179,Bình thường,Không thích màu sặc sỡ mà giao màu hồng ghê quá.,3
14689798,Rất không hài lòng,Rất ok. Mua giảm xuống 1 size,1
1979522,Bình thường,"Tính ra 20k một cái, nếu mua ngoài chợ thì cũng có giá này mà quần đẹp hơn, nhưng đó là quần trung quốc, cái này đảm bảo là hàng Việtnam luôn, mặc thì cũng khá thoáng, mịn, size m nhìn hơi to chút xíu, dáng lưng hơi cao, giao hàng cực nhanh, nay đặt mai giao, thích tiki quá",3
12379892,Rất không hài lòng,"Giao không đúng màu, màu đỏ hồng không luôn.",1
11006469,Không hài lòng,quần vải đẹp mắt giao màu gì k à. đúng là đồ sale có khác,2
6395800,Rất không hài lòng,Mua 2 lần hàng ko giống mẫu,1
5533918,Bình thường,Chị size XL mà chị ghi nhầm thành size S. Giơ liên hệ đổi thế nào shop,3
6502653,Không hài lòng,"Đặt size L, giao size S là sao vậy? Có đổi trả được ko ạ?",2
3559089,Bình thường,Sản phẩm xài OK. Mình mua cả gần trăm cái trên Tiki. Tuy nhiên vừa rồi mua thì vừa cho máy giặt 1 lần trước khi sử dụng đã bị rách rồi,3
8724220,Bình thường,"chất liệu tốt, nhưng size XL mà nhỏ không mặc được luôn",3
20218973,Rất không hài lòng,Tôi chưa nhận được hàng tại sao lại ghi giao hàng thành công. Vui lòng liên hệ tôi gấp,1
