id,title,content,rating
20131244,Rất không hài lòng,giao không đúng hang như hinh,1
20131244,Rất không hài lòng,giao không đúng hang như hinh,1
20224787,Rất không hài lòng,Sản phẩm chất lượng quá kém,1
20224787,Rất không hài lòng,Sản phẩm chất lượng quá kém,1
20223242,Rất không hài lòng,"Giao hàng không đúng size, nhắn tin không trả lời",1
20081458,Rất không hài lòng,Hàng *** quá nhỏ so với ban đầu,1
20223242,Rất không hài lòng,"Giao hàng không đúng size, nhắn tin không trả lời",1
20081458,Rất không hài lòng,Hàng *** quá nhỏ so với ban đầu,1
20216617,Bình thường,Vải dể rách wa mong nhà bán cải thiện lại,3
20025944,Rất không hài lòng,"Mua màu rêu shop gửi không đúng màu, không uy tín",1
20216617,Bình thường,Vải dể rách wa mong nhà bán cải thiện lại,3
20025944,Rất không hài lòng,"Mua màu rêu shop gửi không đúng màu, không uy tín",1
18575493,Rất không hài lòng,"Shop quảng cáo size xl cho người 78kg mà người nhà mình 72 kg, cao 1m72 mặc chật như bó giò chả. Shop bán hàng ko có tâm.",1
19431281,Không hài lòng,Shop cho đổi lại size L đc ko? Size M mà s nhỏ quá🥶🥶🥶,2
16815988,Rất không hài lòng,Mình tin tưởng shop và ủng hộ hàng Vn. Nhưng hàng chất lượng kém quá. Nhẹ cái là rách luôn. Quá thất vọng,1
18202536,Bình thường,"Bình thường. Thqams mồ hôi, nhưng ủ mùi nhiều",3
19964469,Bình thường,"Mịn mát chưa mặc nên chưa biết độ bền thế nào. 
Ship hàng khá nhanh",3
19964469,Bình thường,"Mịn mát chưa mặc nên chưa biết độ bền thế nào. 
Ship hàng khá nhanh",3
16815245,Rất không hài lòng,đưa sai size chán cho 1sao,1
17939294,Rất không hài lòng,Giao sai mầu; đặt mầu đen với ghi xám giao mầu xanh,1
17939294,Rất không hài lòng,Giao sai mầu; đặt mầu đen với ghi xám giao mầu xanh,1
20059793,Không hài lòng,Đổi  sz M. 5 ngày sau ship hang lại đổi vẫn  sz M .đề  nghi shop Đổi  hàng  hoặc trả  hàng,2
19929405,Bình thường,2 cái thì 1 cái bị thủng túi,3
20059793,Không hài lòng,Đổi  sz M. 5 ngày sau ship hang lại đổi vẫn  sz M .đề  nghi shop Đổi  hàng  hoặc trả  hàng,2
19929405,Bình thường,2 cái thì 1 cái bị thủng túi,3
17645571,Bình thường,"ngon,  khóa chất lượng xấu, ko là hoàn hảo",3
15013880,Bình thường,cạn lời. mình nghĩ là nó là sản phẩm mới nhưng do màu nên thấy củ hơn cả quần mình đã mặc 1 năm. kiểu dáng thì ok ấy,3
17487417,Bình thường,Đáy ngắn quá mặc khó chịu,3
15013880,Bình thường,cạn lời. mình nghĩ là nó là sản phẩm mới nhưng do màu nên thấy củ hơn cả quần mình đã mặc 1 năm. kiểu dáng thì ok ấy,3
17487417,Bình thường,Đáy ngắn quá mặc khó chịu,3
20216140,Bình thường,"Tôi đặt size XL 1 cái trắng, 1 cái đen nhưng giao 2 cái đen, lại 1 lớn 1 nhỏ. Này là shop k có hàng bỏ bừa thế vô à",3
20216140,Bình thường,"Tôi đặt size XL 1 cái trắng, 1 cái đen nhưng giao 2 cái đen, lại 1 lớn 1 nhỏ. Này là shop k có hàng bỏ bừa thế vô à",3
19264448,Rất không hài lòng,"Đặt 3 màu khác nhau, giao có 1 màu làm ăn chán",1
17876084,Không hài lòng,"Nhanh sút chỉ, thun đai lưng nhanh dãn",2
17876098,Không hài lòng,"Nhanh hư dây thun quần, sút chỉ",2
17518638,Rất không hài lòng,Quần quá nhỏ so với size thực tế,1
13356841,Rất không hài lòng,Giao hang ko dung size. Tem size còn bị cắt .kết quả mặc ko vừa. Sao lại làm ăn như vậy dc nhỉ.,1
17780045,Rất không hài lòng,Hàng đắt quá bủh bủh lmao,1
17518637,Không hài lòng,Quá nhỏ so với size thực tế,2
15347140,Bình thường,"vai chất lượng ko cao, may tho",3
17202424,Rất không hài lòng,giao hàng sai size . ......,1
15442609,Rất không hài lòng,đặt 2cai 2màu mà shop gửi 1 màu.. làm ãn *** đảo,1
16984766,Bình thường,K giống trên hình lắmmmmm,3
16573089,Rất không hài lòng,"sổ chỉ chân quần, chưa ok lắm.",1
16984772,Bình thường,K hài lòng lắmmmmmmmmmmmmm,3
15442625,Rất không hài lòng,mua 2cai 2màu mà gửi 1màu.. bọn *** đảo,1
13356843,Rất không hài lòng,Giao ko đúng size. Tem size con bị cắt. Mặc ko vừa.,1
12862819,Rất không hài lòng,"em đặt 2 quần này , shop gửi 1 vẫn tính tiền 2 ạ",1
12717695,Hài lòng,"Size hơi nhỏ, giao hàng không đúng mẫu",3
12862826,Rất không hài lòng,mua 3 chiec mà gửi 2 vẫn tính tiền 3,1
16952237,Rất không hài lòng,giao sai hàng đặt sai xxl mà giao sai M là sao ko có sdt ko có địa chỉ của cửa hàng đề nghị cửa hàng đổi hàng lại cho tôi,1
14547952,Rất không hài lòng,hàng đẹp. mà gửi k đúng sai,1
12946711,Bình thường,hàng đảm bảo chất lượng cao,3
10811651,Rất không hài lòng,k fốt lấm?????????,1
16952237,Rất không hài lòng,giao sai hàng đặt sai xxl mà giao sai M là sao ko có sdt ko có địa chỉ của cửa hàng đề nghị cửa hàng đổi hàng lại cho tôi,1
14547952,Rất không hài lòng,hàng đẹp. mà gửi k đúng sai,1
12946711,Bình thường,hàng đảm bảo chất lượng cao,3
10811651,Rất không hài lòng,k fốt lấm?????????,1
19766228,Bình thường,"Quần khong như quảng cáo, tụt chỉ",3
15741823,Bình thường,Thất vọng vì logo được in mà không phải được thêu. Sau một thời gian logo bong tróc hết. Nhìn nó như một chiếc quần  không thương hiệu.,3
18952746,Rất không hài lòng,"May form xấu, túi nông, chất lượng vải thấp",1
18086223,Rất không hài lòng,Quần mặc nhanh rách. Tuột chỉ ……..,1
19703095,Bình thường,"Sản phẩm bình thường, đáy quần hơi ngắn. So với giá thì cao mà chất lượng thì ko bằng của chính hãng 5S actuve. Tiki nên ktra shop bán quần 5S active, treo hàng 5S mà bán hàng nhái.",3
19703095,Bình thường,"Sản phẩm bình thường, đáy quần hơi ngắn. So với giá thì cao mà chất lượng thì ko bằng của chính hãng 5S actuve. Tiki nên ktra shop bán quần 5S active, treo hàng 5S mà bán hàng nhái.",3
19752366,Bình thường,Đặt size L giao hàng XL. Chưa hài lòng về việc này.,3
19717988,Bình thường,Tôi chưa nhan ₫c tiền của sản phẩm thu hồi,3
19763558,Không hài lòng,Shop giao khác size đặt hàng,2
12469886,Rất không hài lòng,Chất lượng quá kém so vs cái giá. Quần mới mà chỉ thừa tùm lum. Mặc 2-3 tuần bắt đầu có dấu hiệu bung chỉ. Thất vọng vì đã mua 1 lần 3 cái.,1
17589218,Rất không hài lòng,"Vải rất mỏng, túi khóa lỏng lẻo, rất nông, nếu ko kéo khóa sẽ rơi đồ.",1
17477494,Bình thường,Hjhh hhjk yhfdf hjjj hjjj,3
12551946,Rất không hài lòng,Tệeeeeeee. Cực kì bực bội. Quần dùng mấy tuần đã sờn. Vải kém quá thể.,1
17509869,Bình thường,Quần xấu giặt 1 lần nhăn nhúm và phai,3
16741175,Rất không hài lòng,Như cái giẻ lau nhà. không giống như QC. anh em mua hàng lưu ý nhé,1
16417811,Không hài lòng,Áo toàn nhỏ ko.. Đặt xl giao hàng m không luôn.. Và khác màu nữa,2
16417828,Không hài lòng,Đặt hàng xl mà giao hàng m ko luôn.. Và khác nàu nữa,2
16417832,Không hài lòng,Đặt hàng xl mà giao hàng m ko luôn.. Và khác nàu nữa,2
17350062,Rất không hài lòng,Hàng lỗi hàng không đúng yêu cầu,1
16299165,Bình thường,Toàn là áo m ko luôn. Đặt màu này giao màu khác,3
16809862,Rất không hài lòng,áo xấu. giao màu cũng không giống,1
16746704,Rất không hài lòng,tôi mua áo thun nam sao giao áo nữ,1
16299169,Bình thường,Zise ko đúng không đúng màu,3
10597904,Không hài lòng,"sp ko giong hinh, vải mỏng",2
10083750,Không hài lòng,"Đường chỉ may chưa được tốt,vắt sổ còn lỗi.",2
10464574,Không hài lòng,Đường may chưa chắc chắn nên đạp lại,2
10735882,Rất không hài lòng,áo quá xấu so với số tiền bỏ ra,1
16741175,Rất không hài lòng,Như cái giẻ lau nhà. không giống như QC. anh em mua hàng lưu ý nhé,1
16417811,Không hài lòng,Áo toàn nhỏ ko.. Đặt xl giao hàng m không luôn.. Và khác màu nữa,2
16417828,Không hài lòng,Đặt hàng xl mà giao hàng m ko luôn.. Và khác nàu nữa,2
16417832,Không hài lòng,Đặt hàng xl mà giao hàng m ko luôn.. Và khác nàu nữa,2
17350062,Rất không hài lòng,Hàng lỗi hàng không đúng yêu cầu,1
16299165,Bình thường,Toàn là áo m ko luôn. Đặt màu này giao màu khác,3
16809862,Rất không hài lòng,áo xấu. giao màu cũng không giống,1
16746704,Rất không hài lòng,tôi mua áo thun nam sao giao áo nữ,1
16299169,Bình thường,Zise ko đúng không đúng màu,3
10597904,Không hài lòng,"sp ko giong hinh, vải mỏng",2
10083750,Không hài lòng,"Đường chỉ may chưa được tốt,vắt sổ còn lỗi.",2
10464574,Không hài lòng,Đường may chưa chắc chắn nên đạp lại,2
10735882,Rất không hài lòng,áo quá xấu so với số tiền bỏ ra,1
10296202,Bình thường,Nên đặt lớn hơn 1 size bình thường,3
10464564,Không hài lòng,Áo giặt bị ra màu nên giặt riêng,2
11073477,Rất không hài lòng,Không ổn cho lắm hàng kém,1
10611989,Bình thường,mua 1 màu mà giao 5 màu.xàm,3
10296189,Rất không hài lòng,Đặt màu trắng giao màu xám,1
20019015,Không hài lòng,"Áo trắng tạm được, áo màu xám chất liệu rất tệ mặc vào như đeo mo lang.",2
20110333,Bình thường,Size nhỏ hơn thông thường rất nhiều,3
20019015,Không hài lòng,"Áo trắng tạm được, áo màu xám chất liệu rất tệ mặc vào như đeo mo lang.",2
20110333,Bình thường,Size nhỏ hơn thông thường rất nhiều,3
16956051,Bình thường,"Áo mặc nóng, không mát như quảng cáo",3
12750584,Bình thường,"1 cái đúng size, 1 cái size nhỏ hơn. k bik khâu đóng gói vô ý hay cố ý làm như thế",3
15557445,Bình thường,Chất lượng sản phẩm bình thường,3
5431959,Bình thường,Hai áo cùng size  L nhưng mang lên ngừoi lại khác nhau. Chất lượng tạm ổn so với giá thành. Đóng gói tốt.,3
11309513,Không hài lòng,Sao mình chọn size theo bảng số đo và cân nặng về ox mình mặc bị ngắn?,2
11027671,Bình thường,"chất lượng vải tốt. Hơi bị ngắn, nên chọn cỡ cao hơn khuyến cáo",3
11294984,Bình thường,"áo zise quá nhỏ so với bình thường , chất áo cũng bình thường ,",3
12081849,Rất không hài lòng,"quá chật mặc không được, thông số size ko đúng",1
11053627,Bình thường,áo ngắn so với size. mình mua size L mà mặc trật cả rốn ra,3
10240646,Rất không hài lòng,gửi size đâu có vừa đâu . thất vọng,1
10717489,Bình thường,Không hài lòng. Rất tệ. Aaaaaaaaaaa,3
11415406,Rất không hài lòng,Ok áo Ok nhưng size ko chuẩn,1
10314720,Bình thường,"form hơi chật, kg như mong muốn.",3
10177199,Bình thường,ok ..............    .................,3
20081775,Rất không hài lòng,"- đóng gói sơ sài; 
- giao hàng ko đúng mẫu.
-  Chất lượng chưa dùng nên ko thể biết ntn.",1
20083317,Bình thường,"Chất liệu vải mỏng, co giãn tốt, đường may ổn",3
19576072,Không hài lòng,"chất liệu sản phẩm không đc như trong hình ,dáng áo cũng hk đẹp",2
20081775,Rất không hài lòng,"- đóng gói sơ sài; 
- giao hàng ko đúng mẫu.
-  Chất lượng chưa dùng nên ko thể biết ntn.",1
20083317,Bình thường,"Chất liệu vải mỏng, co giãn tốt, đường may ổn",3
19576072,Không hài lòng,"chất liệu sản phẩm không đc như trong hình ,dáng áo cũng hk đẹp",2
